,,,,,Estimated Effort Remaining,,,,,,,,,,,,,,,,,,
,,4. Testing,Giacomo,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
,,5. Documentazione,Giacomo,1,1,1,1,1,1,1,1,1,,,,,,,,,,,DONE
,,6. Deploy,Giacomo,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
46,"Come escursionista, voglio poter abbandonare una sessione di gruppo , così da gestire autonomamente la mia partecipazione.",1. Pulsante Abbandona sessione in SessionDetail.,Giacomo,2,1,,,,,,,,,,,,,,,,,,DONE
,,2. Dialog conferma + refresh lista Le mie sessioni.,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,3. Edge case creator vs partecipante (CREATOR_CANNOT_LEAVE).,Giacomo,2,1,,,,,,,,,,,,,,,,,,DONE
,,4. Testing,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,5. Documentazione,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,6. Deploy,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
41,"Come sistema, voglio essere compatibile con dispositivi Android 9.0 o superiori, così da coprire la maggior parte del parco dispositivi degli utenti.",1. Verifica minSdk 28 e audit dipendenze.,Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,DONE
,,2. Test matrix API (emulatori/dispositivi).,Giacomo,3,3,3,3,3,3,3,3,3,3,3,2,1,,,,,,,DONE
,,3. Fix deprecations critiche API legacy.,Giacomo,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,DONE
,,4. Testing,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,5. Documentazione,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,6. Deploy,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
30,"Come Gestore Rifugio, voglio poter visualizzare il conteggio delle persone presenti nel rifugio tramite sensori ottici, così da gestire la capacità in modo efficiente.",1. Integrazione MQTT telemetria sensori ottici.,Giacomo,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,IN PROGRESS
,Mockup,2. Endpoint occupazione rifugio in tempo reale.,Giacomo,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,IN PROGRESS
,Mockup,3. Dashboard rifugio widget conteggio presenze.,Giacomo,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,IN PROGRESS
,Mockup,4. Testing,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,IN PROGRESS
,Mockup,5. Documentazione,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,IN PROGRESS
,Mockup,6. Deploy,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,IN PROGRESS
49,"Come utente, voglio una schermata Profilo completa (dati personali, esperienza, obiettivi, livello e crediti sociali, foto), così da gestire la mia identità in app e vedere la mia progressione.",1. Schema backend personalInfo/experience/preferences/goals + PATCH /users/me/* + anti-cheat,Giacomo,4,4,3,2,1,,,,,,,,,,,,,,,DONE
,,2. Onboarding profilo 3 step (skippable) + profileCompletedAt,Giacomo,3,3,3,2,1,,,,,,,,,,,,,,,DONE
,,"3. ProfileScreen + ProfileV2ViewModel (sezioni, banner, navigazione edit)",Giacomo,4,4,4,4,4,4,3,1,,,,,,,,,,,,DONE
,,4. Avatar upload Base64 + AvatarImage + privacy gate in sessioni,Giacomo,3,3,3,3,3,3,3,2,1,,,,,,,,,,,DONE
,,5. ProfileViewScreen read-only + indicatori anti-cheat,Giacomo,2,2,2,2,2,2,2,2,1,,,,,,,,,,,DONE
,,6. UserProfileScreen + follow-stats + navigazione da social,Giacomo,3,3,3,3,3,3,3,3,2,1,,,,,,,,,,DONE
,,7. GET /users/me/credits + card livello in Profilo,Giacomo,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,DONE
,,8. Testing profilo + persistenza account,Giacomo,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
,,9. Documentazione sprint2_profilo_formazione.md,Giacomo,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,DONE
,,10. Deploy / smoke Render + build mobile,Federico,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,DONE
50,"Come utente, voglio feed sociale, interazioni (follow, like, commenti), stories 24h e editor visivo, così da seguire la community e condividere le escursioni.",1. Modelli follow/comment/likes/sharedAt + socialService backend,Giacomo,4,4,4,4,4,4,4,4,3,1,,,,,,,,,,DONE
,,"2. Endpoint feed, follow, like, commenti + test Jest social",Giacomo,4,4,4,4,4,4,4,4,4,3,1,,,,,,,,,DONE
,,3. SocialFeedViewModel + tab Social + FeedCard + PostDetail,Giacomo,4,4,4,4,4,4,4,4,4,3,2,2,1,,,,,,,DONE
,,4. Social row avatar (anello live/story/goal) + viewed_stories Room,Giacomo,3,3,3,3,3,3,3,3,2,1,,,,,,,,,,DONE
,,5. Ricerca utenti + follow + notifiche (badge campanella),Giacomo,3,3,3,3,3,3,3,3,3,3,3,2,1,,,,,,,DONE
,,6. Backend story schema + route CRUD + markViewed + validazione overlay,Federico,4,4,4,4,4,4,4,4,4,4,4,3,2,,,,,,,DONE
,,7. StoryViewer + StoryComposer + snapshot mappa OSM,Federico,4,4,4,4,4,4,4,4,4,4,4,3,2,,,,,,,DONE
,,"8. Campi editor story (overlay polyline, testo, map box overlay)",Federico,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,,,DONE
,,9. Fix batch storie/join/mappe + delete post + pull-to-refresh Unisciti,Giacomo,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,,,DONE
,,10. Polyline feed + sync Attività/Social,Giacomo,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,DONE
,,11. Testing feed + stories + permessi,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,12. Documentazione sprint2_social.md + API story,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,13. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
52,"Come utente, voglio il modulo Formazione con quiz a risposta multipla, crediti al primo superamento e checkpoint NFC (mockup), così da imparare e progredire nei livelli.",1. Modelli QuizCategory/Quiz/QuizAttempt + seed quizzes.json,Giacomo,4,4,4,4,4,4,4,3,1,,,,,,,,,,,DONE
,,2. quizService submit + quizRoutes (no leak risposte su GET),Giacomo,4,4,4,4,4,4,4,3,1,,,,,,,,,,,DONE
,,3. Accredito crediti + CreditTransaction source quiz,Giacomo,3,3,3,3,3,3,3,3,2,,,,,,,,,,,DONE
,,4. FormazioneScreen + FormazioneViewModel,Giacomo,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,DONE
,,5. QuizScreen + feedback per domanda + risultato,Giacomo,4,4,4,4,4,4,4,4,4,3,2,2,1,,,,,,,DONE
,,6. Auto-seed quiz al boot server,Giacomo,1,1,1,1,1,1,1,1,1,,,,,,,,,,,DONE
,,7. Test Jest quiz + idempotenza superamento,Marco,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,DONE
,,8. [Mockup] Modello Totem + nfcService + endpoint scan,Giacomo,4,4,4,4,4,4,4,4,4,4,4,3,1,,,,,,,DONE
,,9. [Mockup] NfcScanScreen + hardware check + feedback UX,Giacomo,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,,DONE
,,10. [Mockup] Statistiche NFC in Profilo (nfcStats),Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,11. Testing mobile quiz + documentazione seed,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,12. Deploy,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
54,"Come utente, voglio verificare la password prima di modificare dati sensibili dell'account e poterla cambiare in sicurezza, così da proteggere le mie informazioni.",1. Backend verifyPassword + changePassword + Joi (accountRoutes),Giacomo,3,3,3,3,3,3,3,2,1,,,,,,,,,,,DONE
